modnr, pixrad, nmod, tot_t, mod_t, burn_t
001113, 8, 200, 3.51, 2.18, 1.01
000048, 7, 200, 4.73, 1.44, 2.75
000143, 8, 1000, 19.14, 13.37, 4.86
003026, 8, 200, 3.70, 2.16, 1.13
002026, 8, 200, 3.65, 2.13, 1.13
002660, 8, 0, 0, 0, 0
000692, 8, 200, 3.11, 1.58, 1.15
000462, 8, 1050, 12.25, 10.69, 1.13
000225, 8, 200, 3.14, 1.59, 1.16
001372, 8, 200, 8.62, 2.38, 5.23
000499, 8, 200, 9.37, 3.20, 5.11
003292, 12, 200, 222.24, 53.20, 160.76
001694, 7, 300, 5.28, 1.97, 2.65
003272, 8, 200, 3.69, 2.15, 1.12
001366, 8, 200, 3.34, 1.99, 1.02
002588, 12, 200, 16.60, 5.27, 9.19
003354, 8, 200, 3.67, 2.13, 1.13
003236, 8, 200, 6.71, 1.64, 4.20
002223, 8, 200, 10.70, 3.32, 6.26
003008, 11, 200, 9.36, 3.56, 4.60
002938, 8, 200, 3.68, 2.16, 1.13
002359, 8, 200, 3.13, 1.92, 0.89
002978, 8, 200, 3.73, 2.14, 1.13
001686, 7, 300, 5.25, 1.96, 2.67
000252, 6, 200, 1.66, 1.06, 0.43
001767, 8, 200, 9.37, 3.04, 5.34
002250, 12, 200, 84.21, 13.69, 62.03
003176, 11, 200, 9.91, 3.55, 4.95
001379, 5, 200, 2.42, 0.68, 1.45
002520, 12, 200, 87.22, 15.04, 63.57
000350, 8, 150, 2.80, 1.25, 1.15
000607, 8, 200, 3.40, 1.85, 1.14
000591, 8, 200, 3.15, 1.82, 1.02
000705, 8, 0, 0, 0, 0
001254, 8, 200, 3.20, 1.88, 1.01
000731, 5, 200, 1.21, 0.42, 0.63
001473, 8, 200, 3.09, 1.88, 0.89
001082, 8, 200, 3.65, 2.30, 1.01
003454, 8, 200, 9.78, 3.19, 5.55
001916, 8, 200, 3.22, 1.87, 1.04
001697, 8, 200, 6.02, 1.58, 3.66
002406, 8, 200, 8.96, 2.50, 5.47
002053, 12, 200, 15.98, 5.32, 8.67
000962, 8, 200, 3.19, 1.84, 1.02
003316, 12, 200, 259.92, 24.05, 210.27
000232, 8, 200, 2.64, 1.37, 0.96
001151, 8, 200, 2.94, 1.61, 1.03
003456, 8, 0, 0, 0, 0
001696, 7, 300, 4.52, 1.68, 2.26
000959, 8, 200, 3.19, 1.84, 1.03
002768, 8, 0, 0, 0, 0
001622, 8, 200, 3.16, 1.60, 1.17
001602, 8, 200, 3.19, 1.62, 1.20
000615, 8, 200, 2.62, 1.39, 0.92
000551, 8, 200, 3.38, 2.06, 1.01
002338, 8, 200, 3.09, 1.88, 0.90
000982, 8, 200, 3.22, 1.80, 1.03
002459, 8, 200, 3.65, 2.12, 1.12
002365, 8, 200, 3.13, 1.90, 0.90
000155, 8, 1000, 10.14, 8.89, 0.95
001163, 8, 200, 3.35, 1.98, 1.03
003237, 12, 200, 13.57, 4.56, 7.33
002135, 8, 200, 9.56, 2.53, 5.94
000681, 8, 200, 2.73, 1.35, 1.07
001203, 8, 200, 3.85, 2.53, 1.00
002547, 12, 200, 101.43, 17.24, 73.14
002725, 8, 0, 0, 0, 0
001567, 8, 200, 9.73, 3.19, 5.51
002756, 8, 200, 3.97, 2.44, 1.11
001610, 8, 200, 3.12, 1.57, 1.17
001835, 11, 200, 56.06, 11.12, 39.04
001144, 5, 200, 1.41, 0.61, 0.65
002296, 8, 200, 2.61, 1.39, 0.91
003571, 11, 200, 59.81, 8.64, 40.70
003202, 10, 200, 7.64, 3.28, 3.29
002709, 8, 200, 9.14, 3.13, 4.95
001659, 7, 300, 17.66, 4.22, 11.51
001212, 8, 200, 3.16, 1.83, 1.00
003507, 12, 200, 86.05, 12.74, 64.81
001055, 8, 200, 2.81, 1.45, 1.06
002171, 8, 200, 3.15, 1.59, 1.16
002000, 8, 200, 10.00, 3.21, 5.80
003266, 5, 200, 1.13, 0.80, 0.24
002501, 11, 200, 10.84, 3.48, 5.84
002606, 12, 200, 16.55, 5.31, 9.15
002530, 12, 200, 13.33, 4.42, 7.37
002795, 8, 200, 3.67, 2.14, 1.12
000528, 8, 200, 2.79, 1.41, 1.05
003439, 12, 200, 88.05, 14.67, 64.66
000797, 8, 200, 8.27, 2.31, 4.97
001359, 8, 200, 3.17, 1.82, 1.01
003398, 12, 200, 14.68, 4.47, 7.43
003055, 8, 0, 0, 0, 0
001960, 11, 200, 10.60, 3.40, 5.77
001416, 8, 200, 3.21, 1.87, 1.03
002092, 11, 200, 10.50, 3.37, 5.78
002936, 8, 200, 3.21, 1.86, 1.02
002279, 12, 200, 16.51, 5.46, 9.20
001514, 10, 200, 7.72, 3.38, 3.39
003329, 12, 200, 13.77, 4.48, 7.45
001936, 11, 0, 0, 0, 0
000920, 8, 200, 2.73, 1.37, 1.05
000580, 8, 200, 2.62, 1.39, 0.91
000809, 8, 200, 3.12, 1.57, 1.15
002831, 8, 200, 3.18, 1.63, 1.16
001638, 8, 200, 8.12, 1.68, 5.36
001162, 8, 200, 3.19, 1.84, 1.03
000730, 5, 200, 1.10, 0.41, 0.55
001294, 8, 200, 4.12, 2.79, 0.98
001978, 8, 200, 3.69, 2.16, 1.14
003574, 12, 200, 89.63, 17.84, 63.42
002872, 8, 200, 2.77, 1.36, 1.05
003364, 8, 200, 9.46, 3.21, 5.23
001173, 8, 200, 3.15, 1.83, 0.99
000956, 8, 200, 3.21, 1.83, 1.03
003373, 8, 200, 9.97, 3.26, 5.69
001435, 8, 200, 10.21, 3.35, 5.81
000218, 8, 200, 2.72, 1.36, 1.03
001034, 8, 200, 3.22, 1.86, 1.05
000538, 8, 200, 2.74, 1.39, 1.03
000644, 8, 200, 9.51, 3.11, 5.38
001513, 10, 200, 5.57, 2.15, 2.62
001970, 8, 200, 9.70, 3.07, 5.60
001618, 8, 200, 3.19, 1.63, 1.16
000295, 8, 200, 3.13, 1.58, 1.16
002636, 12, 200, 16.77, 5.33, 9.35
002397, 12, 200, 87.96, 17.50, 61.85
002419, 8, 200, 3.19, 1.96, 0.91
001345, 5, 200, 1.46, 0.66, 0.62
003184, 12, 200, 13.97, 4.53, 7.52
003479, 8, 200, 3.71, 2.18, 1.13
000469, 8, 200, 8.48, 2.32, 5.19
003411, 12, 200, 15.52, 4.49, 9.15
001334, 8, 200, 2.79, 1.38, 1.07
002163, 8, 200, 9.98, 3.16, 5.65
001555, 8, 200, 9.17, 2.56, 5.61
002257, 12, 200, 13.27, 4.39, 7.39
001672, 8, 200, 3.15, 1.81, 1.02
002490, 12, 200, 88.73, 17.40, 62.26
002511, 12, 200, 84.40, 14.87, 60.91
002859, 8, 200, 10.03, 3.24, 5.75
001383, 5, 200, 2.21, 0.88, 0.96
000992, 8, 200, 3.21, 1.86, 1.04
001890, 12, 200, 16.21, 5.19, 8.83
003198, 10, 200, 7.73, 3.31, 3.33
002206, 8, 200, 3.12, 1.90, 0.88
002170, 8, 200, 2.60, 1.37, 0.91
000862, 8, 200, 3.15, 1.57, 1.16
001014, 8, 200, 3.42, 2.12, 0.87
000866, 8, 200, 3.09, 1.58, 1.15
001877, 8, 200, 2.71, 1.47, 0.93
002232, 11, 200, 58.61, 12.67, 39.43
001606, 10, 200, 6.95, 2.66, 3.40
000244, 8, 200, 2.63, 1.37, 0.95
001405, 8, 200, 2.63, 1.38, 0.92
001341, 8, 200, 2.86, 1.54, 1.02
001333, 8, 200, 2.81, 1.36, 1.06
000286, 8, 0, 0, 0, 0
001680, 12, 200, 14.38, 4.73, 7.85
002675, 11, 200, 55.16, 10.35, 39.09
002042, 10, 200, 33.88, 9.12, 21.47
002539, 12, 200, 12.50, 4.27, 6.68
001336, 8, 200, 2.99, 1.64, 1.06
002110, 8, 200, 3.12, 1.57, 1.16
003557, 8, 200, 3.25, 1.90, 1.01
001646, 7, 300, 4.59, 1.20, 2.75
001790, 12, 200, 16.47, 4.46, 9.14
003432, 12, 200, 16.41, 5.26, 9.08
003067, 8, 0, 0, 0, 0
003119, 8, 200, 9.65, 3.39, 5.23
000778, 8, 200, 3.24, 1.90, 1.01
000606, 8, 200, 2.76, 1.39, 1.07
001202, 8, 200, 3.15, 1.84, 0.99
000848, 5, 200, 1.22, 0.42, 0.64
001515, 10, 200, 32.08, 7.67, 21.39
003191, 10, 200, 34.71, 8.92, 21.60
001985, 8, 200, 9.82, 3.18, 5.63
001444, 8, 200, 3.15, 1.83, 1.00
002471, 8, 200, 3.14, 1.60, 1.15
